iz,n_ivols,n_gal,r,r_min,r_max,dd
271,100,7152230,22.912162071983712,21.04875784751639,24.598228114789016,7719808146
271,100,7152230,26.77665846121506,24.598228114789016,28.746248627616342,12203944054
271,100,7152230,31.292924406161287,28.746248627616342,33.59375343234238,19338140386
271,100,7152230,36.5706696114228,33.59375343234238,39.25869717097048,30700353522
271,100,7152230,42.73828152572871,39.25869717097048,45.87892527895176,48809004456
271,100,7152230,49.946107989830104,45.87892527895176,53.61552818691274,77703364316
271,100,7152230,58.36911122658861,53.61552818691274,62.65676114432542,123828194286
271,100,7152230,68.2122489908185,62.65676114432542,73.22262504643817,197456739304
271,100,7152230,79.71487514778636,73.22262504643817,85.57021973001949,314843254330
271,100,7152230,93.15839487901451,85.57021973001949,100.0,502226552202
271,300,21451252,0.5434240726439187,0.5,0.584315433076528,5990142
271,300,21451252,0.6350887695006366,0.584315433076528,0.682849050662821,8423226
271,300,21451252,0.7421792491356453,0.682849050662821,0.7979984775278846,11830980
271,300,21451252,0.8673515038449043,0.7979984775278846,0.9325656519822317,16633508
271,300,21451252,1.0135929177868535,0.9325656519822317,1.089825005620585,23372324
271,300,21451252,1.1845540377923505,1.089825005620585,1.2736031402736432,32859330
271,300,21451252,1.3843525975402908,1.2736031402736432,1.4883719409532399,46264228
271,300,21451252,1.6178463293960004,1.4883719409532399,1.73935739051409,65395498
271,300,21451252,1.890834354773413,1.73935739051409,2.0326667338262,92842776
271,300,21451252,2.2098456610566433,2.0326667338262,2.3754370857518157,132615116
271,300,21451252,2.582774398948518,2.3754370857518157,2.7760090990142356,190871258
271,300,21451252,3.0186912722731254,2.7760090990142356,3.2441299178297704,277211964
271,300,21451252,3.5281425839168516,3.2441299178297704,3.7911903557864473,406284318
271,300,21451252,4.123606776362078,3.7911903557864473,4.430502069233829,600952436
271,300,21451252,4.819455132614118,4.430502069233829,5.177621470661636,896602162
271,300,21451252,5.632729051051705,5.177621470661636,6.050728263871968,1348421564
271,300,21451252,6.5831929507429425,6.050728263871968,7.071067811865475,2043338984
271,300,21451252,7.693950679914794,7.071067811865475,8.263468101607344,3117771536
271,300,21451252,8.992122401726679,8.263468101607344,9.656943885009541,4786145720
271,300,21451252,10.50920862480537,9.656943885009541,11.285402696730158,7390947498
