iz,z,Mg_center,median_color,p16,p84
iz207,,-21.05128205128205,0.5434379577636719,0.2603143358230591,0.6947293853759765
iz207,,-20.794871794871796,0.5762899518013,0.24108350932598113,0.6928504347801209
iz207,,-20.53846153846154,0.6001018285751343,0.2306445235013962,0.6999196672439575
iz207,,-20.28205128205128,0.47858133912086487,0.21136319637298584,0.6890339374542236
iz207,,-20.025641025641026,0.4556525945663452,0.21392993092536927,0.6750890278816223
iz207,,-19.76923076923077,0.38248541951179504,0.2057407855987549,0.6659969758987426
iz207,,-19.512820512820515,0.3606516420841217,0.2036060243844986,0.6452801823616028
iz207,,-19.256410256410255,0.346723735332489,0.19954843163490296,0.6228328490257263
iz207,,-19.0,0.33527159690856934,0.1893227517604828,0.6129358530044556
iz207,,-18.743589743589745,0.3117780089378357,0.18872370779514314,0.599947452545166
iz207,,-18.48717948717949,0.27536267042160034,0.1798162591457367,0.5830270600318909
iz207,,-18.23076923076923,0.2486570030450821,0.17017098903656006,0.5651578307151794
iz207,,-17.974358974358974,0.24284450709819794,0.16068208575248719,0.5570956134796142
iz207,,-17.71794871794872,0.23289093375205994,0.16444507122039795,0.543593053817749
iz207,,-17.461538461538463,0.22201696038246155,0.15637911200523377,0.5231570053100586
iz207,,-17.205128205128204,0.20991230010986328,0.14860962927341462,0.5031003785133361
iz207,,-16.94871794871795,0.2051875740289688,0.143040491938591,0.4983660674095154
iz207,,-16.692307692307693,0.20116955041885376,0.13953386425971986,0.48120932340621947
iz207,,-16.435897435897438,0.19545423984527588,0.1359017789363861,0.4786316156387329
iz207,,-16.17948717948718,0.18981210887432098,0.1279393446445465,0.4687372064590454
iz207,,-15.923076923076923,0.18284815549850464,0.12366489768028259,0.46736983060836795
iz207,,-15.666666666666668,0.17867304384708405,0.12200113832950592,0.45649435520172116
iz207,,-15.410256410256412,0.17279741168022156,0.11631086021661759,0.44898541569709777
iz207,,-15.153846153846153,0.1675885021686554,0.11162677735090255,0.4439731192588806
iz207,,-14.897435897435898,0.16432709991931915,0.1092976862192154,0.436517596244812
iz207,,-14.641025641025642,0.15834090113639832,0.10357870161533356,0.4307640969753265
iz207,,-14.384615384615387,0.1542813777923584,0.09977411061525344,0.4249968576431274
iz207,,-14.128205128205128,0.14850540459156036,0.09519411772489547,0.4189323997497559
